,probLow,probHigh,lowEnergy,minLE,maxLE,minHE,maxHE,maxLPHI,maxHPHI,highEnergy,minCP,maxCP,minMP,maxMP,phitot
0,0.9459459459459459,0.05405405405405406,-509.8722114646159,-509.87222657894625,-509.8720607914168,-551.3080115331582,-551.308006408935,0.009420723018413586,0.41535366818830516,-551.3080089710465,2.1166793826262986e-19,2.1166795867020545e-19,-2.9080239362639205e-18,-2.908023748888405e-18,100.0
1,0.7586206896551724,0.2413793103448276,-897.5364228015787,-897.5365000672889,-897.5359336293101,-1137.3655982711894,-1137.3655752629109,0.015525909116894544,0.415346736956026,-1137.3655888516116,4.492032728099866e-19,4.492035018396533e-19,-6.012235820749301e-18,-6.012233743773241e-18,206.75675675675677
2,0.5789473684210527,0.42105263157894735,-1238.2448827998035,-1238.2449286418278,-1238.2447680490777,-1720.4476648335237,-1720.4476247651066,0.021011358188689662,0.4153489362165037,-1720.4476466178,6.9895201139469425e-19,6.989532760885485e-19,-9.116269247940096e-18,-9.116258287537313e-18,313.51351351351354
3,0.35,0.65,-1555.0416388987164,-1555.0416759673217,-1555.0415166108523,-2300.49428698599,-2300.4942146906433,0.026409262209317098,0.41535545712637517,-2300.4942666152087,9.611818091858956e-19,9.611827365336468e-19,-1.2220065541032874e-17,-1.2220057616792278e-17,420.27027027027026
4,0.5454545454545454,0.45454545454545453,-1858.7439497572643,-1858.743974447217,-1858.7438345142334,-2877.43816961039,-2877.437565708421,0.032101077763922826,0.4153665274119766,-2877.438012385176,1.236166068107344e-18,1.2361730056640936e-18,-1.532363896464981e-17,-1.5323571838628255e-17,527.0270270270271
5,0.25,0.75,-2156.462505638308,-2156.462505638308,-2156.462505638308,-3451.798347126547,-3451.798347051572,0.03872769313027391,0.41600132312372345,-3451.7983471083026,1.528099771192066e-18,1.5281010361508455e-18,-1.84658956728948e-17,-1.8465883352155724e-17,633.7837837837837
6,0.0,1.0,,,,-4024.4865513207897,-4024.48289653956,0.0,0.4167075452398806,-4024.4860944724182,1.8348158566364307e-18,1.8351737016296772e-18,-2.1623028889798642e-17,-2.1620116939752363e-17,740.5405405405405
7,0.0,1.0,,,,-4595.06262439887,-4595.062624397688,0.0,0.41720123899611594,-4595.062624398581,2.155536124377084e-18,2.1555364667443522e-18,-2.477413879571311e-17,-2.4774135377677153e-17,847.2972972972973
8,0.0,1.0,,,,-5163.133014010981,-5162.987642071974,0.0,0.41793501938924865,-5163.118476816142,2.490498410708084e-18,2.493087470110359e-18,-2.794809866875008e-17,-2.792639372653942e-17,954.0540540540541
9,0.0,1.0,,,,-5728.372733312835,-5720.764697851196,0.0,0.41998725954803595,-5727.738730357533,2.839979272574872e-18,2.8601194607106266e-18,-3.123513288744998e-17,-3.107594861362518e-17,1060.8108108108108
10,0.0,1.0,,,,-6290.508640270792,-6274.49653596917,0.0,0.4211955163906464,-6288.474406586976,3.1896933286000964e-18,3.236277606654682e-18,-3.444465002660292e-17,-3.415656046160261e-17,1167.5675675675675
11,0.0,1.0,,,,-6849.306669397918,-6847.506206303246,0.0,0.41967736765608793,-6849.001501196596,3.583737192119841e-18,3.595857074302915e-18,-3.741786106326748e-17,-3.736504173868924e-17,1274.3243243243244
12,0.0,1.0,,,,-7404.562007233683,-7401.570239582832,0.0,0.42016416070657253,-7404.182692413611,3.978686474761807e-18,3.994656175789919e-18,-4.0583667340807146e-17,-4.0504195150963284e-17,1381.081081081081
13,0.0,1.0,,,,-7956.091470567733,-7951.747487674954,0.0,0.4206712951739936,-7955.243523036604,4.389496323001653e-18,4.41041869415161e-18,-4.374687878004489e-17,-4.363972265028414e-17,1487.837837837838
14,0.0,1.0,,,,-8503.727557817283,-8503.719121994529,0.0,0.41952925319631224,-8503.726714234752,4.816551982538719e-18,4.817534900581857e-18,-4.6776365906717076e-17,-4.677168922907285e-17,1594.5945945945946
15,0.0,1.0,,,,-9047.31378229973,-9039.682282113106,0.0,0.42141079067233134,-9045.601491496405,5.2602585082641614e-18,5.2891146140641305e-18,-5.006516529999218e-17,-4.9900199889458156e-17,1701.3513513513515
