,probLow,probHigh,lowEnergy,minLE,maxLE,minHE,maxHE,maxLPHI,maxHPHI,highEnergy,phitot
0,0.9302325581395349,0.06976744186046512,-471.62378584086093,-471.623805928226,-471.62363685242804,-283.7921658398956,-283.7921350090596,0.009230747364273047,0.36322190393839915,-283.7921554538847,100.0
1,0.8947368421052632,0.10526315789473684,-728.0330202841828,-728.0330499576246,-728.0328889450002,-507.85486508987475,-507.85485904988013,0.01360631352508441,0.3632136557714387,-507.8548620693135,179.72972972972974
2,0.8461538461538461,0.15384615384615385,-947.1935541794903,-947.193617441538,-947.1927915001204,-729.6929359273474,-729.6929044252003,0.017417874158761597,0.36321710417785597,-729.6929290400549,259.4594594594595
3,0.75,0.25,-1142.5319796946505,-1142.5320159862715,-1142.531770275667,-949.2607412286326,-949.2607038951537,0.02092568645104184,0.36322930499314415,-949.2607312835105,339.18918918918916
4,0.6111111111111112,0.3888888888888889,-1320.6896742877268,-1320.689721054288,-1320.6895393587856,-1166.508277386267,-1166.508235319327,0.024248465580921717,0.3632474963520817,-1166.5082553534537,418.9189189189189
5,0.7037037037037037,0.2962962962962963,-1485.5535182917768,-1485.6147591945603,-1484.4518594179049,-1381.382863098236,-1381.3828347674535,0.027502183899846613,0.3632701243868974,-1381.3828569587363,498.64864864864865
6,0.5862068965517241,0.41379310344827586,-1639.9130679957773,-1639.9131796727697,-1639.9123719724696,-1593.8295402608162,-1593.2771867155234,0.030591016331008514,0.3639731271263367,-1593.7373951719312,578.3783783783783
7,0.5384615384615384,0.46153846153846156,-1785.4289289828375,-1785.4289451728932,-1785.4287873554051,-1803.836974581599,-1803.8369741974886,0.03369165945630399,0.3636554146878905,-1803.8369744810568,658.1081081081081
8,0.4,0.6,-1923.5347421685385,-1923.5348062446903,-1923.534632146109,-2011.8829597602983,-2011.555078941604,0.036786204178367504,0.36541274801780305,-2011.846528554015,737.8378378378378
9,0.52,0.48,-2055.2948003951014,-2055.2948471468644,-2055.29468627634,-2217.9473276679037,-2210.2936429371175,0.03990199174517066,0.36937518118824897,-2216.6717135458707,817.5675675675675
10,0.4166666666666667,0.5833333333333334,-2181.5631923129954,-2181.563265774535,-2181.5630162466477,-2421.840923618681,-2421.840923616534,0.04306672504669349,0.36604303904378366,-2421.8409236179837,897.2972972972973
11,0.3333333333333333,0.6666666666666666,-2303.049048269321,-2303.049064126712,-2303.0490329830486,-2623.393014822584,-2623.3930148212175,0.046311918600333866,0.366664090782519,-2623.3930148223358,977.027027027027
12,0.2,0.8,-2420.362014131161,-2420.3620238196518,-2420.361993493563,-2822.4480517776865,-2811.0331853662474,0.04967586079584492,0.37211312516837414,-2821.021193476039,1056.7567567567567
13,0.2631578947368421,0.7368421052631579,-2534.0491594059386,-2534.0491979923763,-2534.0490581674353,-3018.862693797419,-3001.2478135906003,0.05321024503789465,0.37367615764670686,-3016.346280290497,1136.4864864864865
14,0.22727272727272727,0.7727272727272727,-2644.629113275106,-2644.629234383228,-2644.629079288966,-3212.5031682357144,-3189.2832518283108,0.05698983070785098,0.3748442309216125,-3209.7714133642226,1216.2162162162163
15,0.2222222222222222,0.7777777777777778,-2752.63360957816,-2752.6338215627134,-2752.633030985794,-3403.2429603056603,-3375.3325305081626,0.061140267658303805,0.3758528382984689,-3399.2557560487176,1295.9459459459458
16,0.13636363636363635,0.8636363636363636,-2858.677193685105,-2858.6771937204812,-2858.677193633028,-3590.9608063334276,-3559.1918097560447,0.06590581013977499,0.37646284865885093,-3587.6167014303974,1375.6756756756756
17,0.17391304347826086,0.8260869565217391,-2963.6319133205907,-2963.631965698857,-2963.6318140927638,-3775.5389550777772,-3775.538955075281,0.07194427021779345,0.36940725124072177,-3775.538955077314,1455.4054054054054
18,0.0,1.0,,,,-3956.8616594174614,-3956.8616594159203,0.0,0.3697572827509964,-3956.861659417304,1535.135135135135
19,0.0,1.0,,,,-4134.813861166761,-4134.8138611658305,0.0,0.3700865295845138,-4134.813861166633,1614.8648648648648
20,0.0,1.0,,,,-4309.280033833251,-4300.02268917577,0.0,0.3703973296638591,-4308.817166600192,1694.5945945945946
21,0.0,1.0,,,,-4480.143151076897,-4475.06915653685,0.0,0.37069171229022985,-4479.844680809603,1774.3243243243242
22,0.0,1.0,,,,-4647.283751949332,-4647.283751937664,0.0,0.37097138502556665,-4647.283751948713,1854.054054054054
23,0.0,1.0,,,,-4810.5790772987475,-4810.579077253834,0.0,0.3712378633935263,-4810.579077296568,1933.7837837837837
24,0.0,1.0,,,,-4969.9022547613595,-4969.902254598358,0.0,0.37149250596860905,-4969.902254754461,2013.5135135135133
25,0.0,1.0,,,,-5125.121512372929,-5080.786214000248,0.0,0.3717364533105158,-5123.274208254778,2093.2432432432433
26,0.0,1.0,,,,-5276.0994029520625,-5276.072817079685,0.0,0.37197091169723007,-5276.098295148561,2172.972972972973
27,0.0,1.0,,,,-5422.692023009626,-5422.692020031298,0.0,0.3721965300081647,-5422.69202279053,2252.7027027027025
28,0.0,1.0,,,,-5564.748211034252,-5511.269354824904,0.0,0.37241242630902033,-5562.519925331326,2332.4324324324325
29,0.0,1.0,,,,-5702.108710610686,-5645.768094182664,0.0,0.372621217785057,-5699.761184926097,2412.162162162162
30,0.0,1.0,,,,-5834.605283964409,-5775.460253357538,0.0,0.3728302544922717,-5831.91687214421,2491.8918918918916
31,0.0,1.0,,,,-5962.05976120282,-5962.059585977112,0.0,0.3730378436151862,-5962.059749615327,2571.6216216216217
32,0.0,1.0,,,,-6084.28300973823,-6084.282836791727,0.0,0.3732269307023094,-6084.28300221862,2651.3513513513512
33,0.0,1.0,,,,-6201.073807112251,-6201.073501708816,0.0,0.37341781753434394,-6201.073791038236,2731.081081081081
34,0.0,1.0,,,,-6312.217598657081,-6312.217094453651,0.0,0.37360476185966374,-6312.217570645624,2810.810810810811
35,0.0,1.0,,,,-6417.485119065996,-6417.484329258033,0.0,0.3737883427865631,-6417.48508145581,2890.5405405405404
36,0.0,1.0,,,,-6516.630853914704,-6516.629687310501,0.0,0.373968268861479,-6516.63079303507,2970.27027027027
37,0.0,1.0,,,,-6609.391313357102,-6609.3910447862,0.0,0.3741189368397743,-6609.391301144544,3050.0
38,0.0,1.0,,,,-6695.4830854508355,-6695.483076142239,0.0,0.37427340336020015,-6695.483084604507,3129.7297297297296
39,0.0,1.0,,,,-6774.6006306362615,-6774.600630624686,0.0,0.3744339187340075,-6774.600630635419,3209.459459459459
40,0.0,1.0,,,,-6846.413771517141,-6846.413771514881,0.0,0.3745954989918697,-6846.4137715169,3289.189189189189
41,0.0,1.0,,,,-6910.564822901865,-6910.564699760722,0.0,0.37476573044095024,-6910.564817976065,3368.9189189189187
42,0.0,1.0,,,,-6966.6652955784275,-6966.665190427412,0.0,0.37492174354320257,-6966.6652916836265,3448.6486486486483
43,0.0,1.0,,,,-7014.292092869878,-7014.291581497492,0.0,0.3750885980962163,-7014.29207523608,3528.3783783783783
44,0.0,1.0,,,,-7052.983100800187,-7052.983100799471,0.0,0.37521991792236997,-7052.983100800013,3608.108108108108
45,0.0,1.0,,,,-7082.23204954877,-7082.232049530538,0.0,0.37537164774224224,-7082.232049547966,3687.8378378378375
46,0.0,1.0,,,,-7101.482494243597,-7101.482494222623,0.0,0.3755217979532173,-7101.4824942426085,3767.5675675675675
47,0.0,1.0,,,,-7110.120724933707,-7110.120724858265,0.0,0.37567077045906067,-7110.1207249309555,3847.297297297297
48,0.0,1.0,,,,-7107.467365899332,-7107.467365765987,0.0,0.37581852459735726,-7107.467365894758,3927.0270270270266
49,0.0,1.0,,,,-7092.767359273852,-7092.767355333784,0.0,0.3759667032772403,-7092.767359134244,4006.7567567567567
50,0.0,1.0,,,,-7065.17794160422,-7065.164421228167,0.0,0.3762408284462654,-7065.177437819532,4086.4864864864862
51,0.0,1.0,,,,-7023.754106397922,-7023.754099535423,0.0,0.3762578632111123,-7023.754106126306,4166.216216216217
52,0.0,1.0,,,,-6967.4308892542485,-6967.430875334646,0.0,0.3764030736716699,-6967.430888689527,4245.945945945946
53,0.0,1.0,,,,-6895.001597816831,-6895.001565925477,0.0,0.37654846133697906,-6895.001596608694,4325.675675675676
54,0.0,1.0,,,,-6805.090811181766,-6805.090754155225,0.0,0.3766932743692311,-6805.090808964504,4405.405405405405
55,0.0,1.0,,,,-6696.120554260883,-6696.120450599078,0.0,0.3768383202900638,-6696.120550110847,4485.135135135135
56,0.0,1.0,,,,-6566.267452986742,-6566.267267936125,0.0,0.3769837173653715,-6566.267445328037,4564.864864864865
57,0.0,1.0,,,,-6413.407803576485,-6413.407487015584,0.0,0.3771295131920876,-6413.407789980073,4644.594594594594
58,0.0,1.0,,,,-6235.046194732053,-6235.045676385189,0.0,0.37727579569152386,-6235.046172509917,4724.324324324324
59,0.0,1.0,,,,-6028.221361223252,-6028.220610834461,0.0,0.3774215290149707,-6028.221329033549,4804.054054054054
60,0.0,1.0,,,,-5789.3799078362545,-5789.378933030408,0.0,0.3775664312556845,-5789.379864128411,4883.783783783783
61,0.0,1.0,,,,-5514.203705256126,-5514.20245877645,0.0,0.3777119058118711,-5514.203652115918,4963.513513513513
62,0.0,1.0,,,,-5197.368829466449,-5197.3672716122,0.0,0.37785639778099994,-5197.368758001875,5043.243243243243
63,0.0,1.0,,,,-4832.20047127626,-4832.19855465803,0.0,0.3780016955604282,-4832.200379798637,5122.9729729729725
64,0.0,1.0,,,,-4410.164546700124,-4410.162249300638,0.0,0.3781471894514943,-4410.164446535238,5202.7027027027025
65,0.0,1.0,,,,-3920.0930508714355,-3920.0903622942433,0.0,0.37829220835729743,-3920.092933976533,5282.4324324324325
66,0.0,1.0,,,,-3346.9552518482005,-3346.9521767223473,0.0,0.37843739545048516,-3346.9551042022977,5362.162162162162
67,0.0,1.0,,,,-2669.8107749514947,-2669.8073399399273,0.0,0.37858210032052797,-2669.8106204435467,5441.891891891892
68,0.0,1.0,,,,-1858.1861402103295,-1858.182393694689,0.0,0.3787267810314615,-1858.185953598796,5521.621621621622
69,0.0,1.0,,,,-865.1410096275242,-865.1370213728762,0.0,0.3788712066481947,-865.1407941288402,5601.351351351351
70,0.0,1.0,,,,387.45116616946956,387.45530777390474,0.0,0.37901538479765373,387.45144060472575,5681.081081081081
71,0.0,1.0,,,,2045.0805377357665,2045.0820871456285,0.0,0.37913689749220014,2045.0807090123183,5760.810810810811
72,0.0,1.0,,,,4432.15329118072,4432.155243700558,0.0,0.37928512372732637,4432.153525527472,5840.54054054054
