,probLow,probHigh,lowEnergy,minLE,maxLE,minHE,maxHE,maxLPHI,maxHPHI,highEnergy,minCP,maxCP,minMP,maxMP,phitot
0,0.8333333333333334,0.16666666666666666,-432.6980883729911,-439.71767754076944,-194.0621729189676,-481.1534625006754,-481.1534317706743,0.015622472857422647,0.4153537533441898,-481.1534529738324,5.02244256858428e-19,5.022444669804298e-19,-2.9080248055776517e-18,-2.9080230554235874e-18,100.0
1,0.8333333333333334,0.16666666666666666,-601.4863748019875,-601.4863968127754,-601.4862455154018,-732.8193944616453,-732.8193563011433,0.012567708699231364,0.41534841730119976,-732.819375575967,7.75484742493078e-19,7.754852736383822e-19,-4.4405072629762275e-18,-4.440502790635145e-18,152.7027027027027
2,0.8387096774193549,0.16129032258064516,-746.043855367915,-746.0438777655663,-746.043718056161,-983.0131959418715,-983.0131652002699,0.01545409156304434,0.4153468269436236,-983.0131714275625,1.0547899579235545e-18,1.0547902926137366e-18,-5.972942718066956e-18,-5.972939907015053e-18,205.40540540540542
3,0.7142857142857143,0.2857142857142857,-878.8820075392515,-878.8820463033398,-878.8818825894458,-1231.7055342043006,-1231.7055009607332,0.018200777935753705,0.41534712777078614,-1231.705528107009,1.3402879768201287e-18,1.340288372070245e-18,-7.505337175246416e-18,-7.505333852820765e-18,258.1081081081081
4,0.7692307692307693,0.23076923076923078,-1003.1156506729145,-1003.1156867956975,-1003.1155258237261,-1478.86478073663,-1478.8647452770292,0.020875156327535505,0.41534872329777245,-1478.864768165525,1.6321125525030884e-18,1.6321132022516972e-18,-9.037686044675594e-18,-9.037680460452063e-18,310.81081081081084
5,0.75,0.25,-1120.7576126134381,-1120.7576496480194,-1120.7574911631903,-1724.4576125589049,-1724.4574953753527,0.023527917591822486,0.4153513599535935,-1724.4575777436912,1.930402049785191e-18,1.930403565700447e-18,-1.056998643517404e-17,-1.0569972991116065e-17,363.5135135135135
6,0.55,0.45,-1233.227949853282,-1233.2279990246288,-1233.2278439159657,-1968.4491724369032,-1968.4490156930485,0.02620150691054667,0.4153551666973586,-1968.4491050578351,2.2353029772916386e-18,2.2353046761604845e-18,-1.2102213776874603e-17,-1.2102195967587452e-17,416.2162162162162
7,0.6875,0.3125,-1341.6009266402455,-1341.6009423706523,-1341.600862651148,-2210.803131610877,-2210.4836922485288,0.02894004242584442,0.41553594366373814,-2210.7392149419475,2.546961280507433e-18,2.547783919528973e-18,-1.364207028058435e-17,-1.3634352506695888e-17,468.9189189189189
8,0.36363636363636365,0.6363636363636364,-1446.7442484813803,-1446.7442853082662,-1446.7441187634709,-2451.48160658436,-2451.18461680672,0.03179840762824547,0.4156837971593589,-2451.4603417764074,2.86553895286364e-18,2.8671881388912137e-18,-1.518141041318345e-17,-1.5166436448276385e-17,521.6216216216217
9,0.3333333333333333,0.6666666666666666,-1549.4134369074745,-1549.4134544733254,-1549.4134284722152,-2690.5004910804532,-2682.6407679887657,0.03485613962960676,0.41810999585864195,-2689.913979948048,3.19232080734072e-18,3.2067322197602426e-18,-1.6827019364886262e-17,-1.670985683463762e-17,574.3243243243244
10,0.1875,0.8125,-1650.3365428346121,-1650.33659399727,-1650.3364405092964,-2928.1554058007296,-2902.484350664499,0.03825466410655279,0.4205447177571454,-2926.0907292804413,3.527675550098184e-18,3.556002383976599e-18,-1.8495198805712497e-17,-1.8266289662476132e-17,627.027027027027
11,0.17647058823529413,0.8235294117647058,-1750.3436102740063,-1750.3436232804063,-1750.3435842612068,-3164.4115480508635,-3155.876393807568,0.04232329032923415,0.41865271614494004,-3163.66462537994,3.870574681276964e-18,3.886339038843841e-18,-1.9961267895510133e-17,-1.9823295983595983e-17,679.7297297297297
12,0.0,1.0,,,,-3399.1714679811594,-3338.1710149883825,0.0,0.42480072858982365,-3391.5199587856955,4.220845165000471e-18,4.279861835315929e-18,-2.165031926886031e-17,-2.137734558637263e-17,732.4324324324324
13,0.0,1.0,,,,-3632.3421401858836,-3632.2328378042635,0.0,0.4171805640399429,-3632.3337323098767,4.579677756888817e-18,4.5818738013893865e-18,-2.2952846704543765e-17,-2.2937750043335677e-17,785.1351351351351
14,0.0,1.0,,,,-3863.834087708184,-3863.545003243727,0.0,0.41747803319154236,-3863.7721118818167,4.9424183452623945e-18,4.948901987957855e-18,-2.4514491165180004e-17,-2.4469048750107472e-17,837.8378378378378
15,0.0,1.0,,,,-4093.5605675469237,-4092.8872991024728,0.0,0.4180835991294468,-4093.5124769435124,5.321093500095556e-18,5.32713056960939e-18,-2.608907177840043e-17,-2.605127592730204e-17,890.5405405405405
16,0.0,1.0,,,,-4321.436825910316,-4320.868205846303,0.0,0.4182265052543538,-4321.393085904509,5.704426032579687e-18,5.710095136309505e-18,-2.764203917362222e-17,-2.760728860665161e-17,943.2432432432432
17,0.0,1.0,,,,-4547.37941777189,-4547.379417771338,0.0,0.4178212804566039,-4547.379417771673,6.096468498592121e-18,6.096468771362316e-18,-2.9162657972785755e-17,-2.91626546063684e-17,995.9459459459459
18,0.0,1.0,,,,-4771.305580935265,-4771.305580934427,0.0,0.418012400639899,-4771.305580935099,6.4974552966888076e-18,6.497455573837192e-18,-3.071729811390296e-17,-3.0717295517611283e-17,1048.6486486486488
19,0.0,1.0,,,,-4993.132654206833,-4993.132654206656,0.0,0.4181913639287407,-4993.132654206785,6.9076336778226625e-18,6.9076338134110526e-18,-3.2271152292423105e-17,-3.2271151029929964e-17,1101.3513513513512
20,0.0,1.0,,,,-5212.777529952668,-5212.7775299495015,0.0,0.4183595736273044,-5212.777529952199,7.32726314208294e-18,7.327263726358034e-18,-3.382418458642598e-17,-3.3824181425351896e-17,1154.054054054054
