,phitot,LRm,LTheta,LRp,LME,LBE,LEN,LTE,LCE,LMPot,LCON,LAG,lowTotal,HRm,HTheta,HRp,HME,HBE,HEN,HTE,HCE,HMPot,HCON,HAG,highTotal,state
0,100.0,0.0004121088482826795,0.00100000971753867,1.429571825887948e-07,249.97573515495398,9.424960346915957e-05,-566.5430838999562,708.5007390029966,-312.2646973957863,-1.7153174842201782,62.1519815136919,72.15032553865224,-494.094450563262,4.1656879850407276e-05,0.0015015739025316705,2.2645125799910862e-08,249.76000124176247,0.00021250270810582543,-166.1027281165982,16.32205517867202,62.48000448777358,-6.3942977495457685,0.0009949512126608022,-623.9268061622397,-477.14250450033234,11
1,387.5,0.000504704300647606,0.0010000019577014665,1.0611163831483144e-07,968.6732238913477,9.424814076174759e-05,-1824.6351223913966,1062.6339813395994,-828.0856291852909,-1.596544454238945,188.4520219749204,112.85926177843915,-1382.219039629065,0.00012304187011021907,0.0010008158967483147,1.2248170054662673e-07,968.4350921509007,9.440162737271493e-05,-643.7347484897504,63.25898584853075,258.43334705742626,-6.393940613822304,0.05681938202741908,-2417.5626939232097,-1833.9945857055168,11
2,675.0,0.000526223036109042,0.0010000011236194397,9.957270963035654e-08,1687.371729831949,9.424798355653863e-05,-2855.110259846056,1155.1773808986004,-1096.3501689897157,-1.902349226176244,236.01037896679077,-80.13395493075731,-2107.6711387083046,2.858666104932895e-06,0.05679693513941694,1.4403738281012094e-07,1663.970188046667,0.30395142057563346,-1119.3758385821097,109.94309015101253,481.5182524162291,-6.411866328380591,0.3873716129943971,-4214.71506161385,-3165.8261858778037,11
3,962.5,1.0,1.0,1.0,2406.249903750001,86.65097392540919,-31497.972084714424,3835397190337061.5,-28758.631960867824,-28.22566557650238,1.5907618854971687e+29,962.4999999995189,1.590761885497191e+29,1.0962936042648656e-06,0.17671208938333482,1.4099787274960093e-07,2319.255018553415,2.9354400021143663,-1591.3013918211527,156.15786637632772,734.856259911407,-6.43914730537091,1.6289553350244395,-6018.331274788807,-4477.762026793778,01
4,1250.0,1.0,1.0,1.0,3124.999875000001,86.65097392540919,-40581.000673115115,3835397190337061.5,-36963.56306615591,-27.964300812368265,1.5907618854971687e+29,1249.9999999991885,1.590761885497191e+29,8.183997160972997e-07,0.2698786986631799,1.3795828302886407e-07,2974.129188876096,6.8229277347514135,-2062.4236216304216,202.27332286271724,1018.2168182025009,-6.450307128673101,4.139225798556052,-7823.25919001791,-5764.647115275735,01
5,1537.5,1.0,1.0,1.0,3843.749846250001,86.65097392540919,-49597.308561566766,3835397190337061.5,-45070.47703192189,-27.757286642984234,1.5907618854971687e+29,1537.4999999987724,1.590761885497191e+29,7.144248345630788e-07,0.3431811957196937,1.34221151416141e-07,3631.5542422055078,10.991362806034187,-2532.941996818907,248.31418340645075,1333.7483908824536,-6.453242694780684,8.027017167611039,-9629.170013434206,-7021.081272878951,01
6,1825.0,1.0,1.0,1.0,4562.499817500002,86.65097392540919,-58559.53852568578,3835397190337061.5,-53089.30205073365,-27.5858643766486,1.5907618854971687e+29,1824.9999999982701,1.590761885497191e+29,6.648248490609988e-07,0.40221779290518495,1.301014562105978e-07,4292.120641680198,15.042872965613032,-3002.9700335868406,294.2945182220099,1684.0004602312456,-6.451891226898701,13.250003159740617,-11435.87675312107,-8242.842231924533,01
7,2112.5,1.0,1.0,1.0,5281.249788750002,86.65097392540919,-67469.87471695623,3835397190337061.5,-61025.53896310701,-27.439572283434167,1.5907618854971687e+29,2112.499999997682,1.590761885497191e+29,6.387908161441818e-07,0.45087290661036483,1.2591138882670836e-07,4955.724076083397,18.836912571368657,-3472.579454753521,340.22321705033283,2071.961735221455,-6.4482566377298625,19.72930619325934,-13243.261314861391,-9426.066620632693,01
8,2400.0,1.0,1.0,1.0,5999.999760000001,86.65097392540919,-76347.37546171619,3835397190337061.5,-68881.8365947209,-27.311975626329758,1.5907618854971687e+29,2399.9999999970087,1.590761885497191e+29,6.248728294570229e-07,0.491805101404267,1.2183187170078187e-07,5622.068351555021,22.340136643589084,-3941.81253175755,386.1055149674192,2501.1439539119824,-6.443389066241752,27.3964166855916,-15051.254269737963,-10566.783626073138,01
9,2687.5,1.0,1.0,1.0,6718.749731250003,86.65097392540919,-85190.35325634138,3835397190337061.5,-76658.72484880332,-27.19883297023016,1.5907618854971687e+29,2687.4999999962492,1.590761885497191e+29,6.178583401928666e-07,0.5268727325649519,1.179474307162201e-07,6290.8197120248815,25.56305393532382,-4410.690294098888,431.94401470240757,2975.6979306987746,-6.437855667197042,36.20302875829749,-16859.821120622662,-11660.605658722363,01
