,probLow,probHigh,lowEnergy,minLE,maxLE,minHE,maxHE,maxLPHI,maxHPHI,highEnergy,minCP,maxCP,minMP,maxMP,phitot
0,0.9069767441860465,0.09302325581395349,-494.0944357188173,-494.0944554579625,-494.09429180398496,-477.33110989209126,-477.331104764594,0.009371100425043757,0.40670253564824493,-477.3311073272046,2.5871632408400894e-19,2.5871641828418323e-19,-2.648667495339188e-18,-2.648666842162736e-18,100.0
1,0.7878787878787878,0.21212121212121213,-818.4698040283347,-818.4698312893839,-818.4696690646653,-920.0569792379806,-920.0569473732672,0.01466241547038087,0.406695784925357,-920.0569717437983,5.107606813434761e-19,5.107618357858979e-19,-5.118112822535543e-18,-5.1181044749686645e-18,193.24324324324323
2,0.6785714285714286,0.32142857142857145,-1101.6034183502968,-1101.603444154502,-1101.6032833914621,-1360.1839017429934,-1360.183869497335,0.019361303250343447,0.4066967334191348,-1360.1838875351161,7.734820359481894e-19,7.734827729567488e-19,-7.587421231375152e-18,-7.587416326718682e-18,286.48648648648646
3,0.5,0.5,-1361.3336413845743,-1361.3336743254117,-1361.3335083626464,-1797.659765682567,-1797.659581209988,0.023841151527755212,0.406702545059937,-1797.6597334807686,1.047113245573056e-18,1.0471144367890786e-18,-1.0056563560635378e-17,-1.0056552513742085e-17,379.72972972972974
4,0.45,0.55,-1606.1394514323083,-1606.1394963509804,-1606.1393307597625,-2232.4265930689626,-2232.426560186133,0.02830030132559819,0.4067117195341223,-2232.426585175408,1.3318948468013253e-18,1.3318962168111964e-18,-1.2525484807414661e-17,-1.2525475873340012e-17,472.97297297297297
5,0.11764705882352941,0.8823529411764706,-1841.1246077131632,-1841.1248767435961,-1841.1243386827305,-2664.4253061450063,-2664.425284443403,0.03291050605017655,0.40677411724814067,-2664.425298569477,1.6283496460354243e-18,1.6283651076153684e-18,-1.4996701110381616e-17,-1.4996580049094284e-17,566.2162162162163
6,0.14285714285714285,0.8571428571428571,-2069.921271994288,-2069.921284683803,-2069.921259304773,-3094.336455910486,-3094.336455902663,0.03790100954422877,0.40751660237539455,-3094.336455908173,1.9411011852559578e-18,1.9411018586856913e-18,-1.750768566504655e-17,-1.7507680828967316e-17,659.4594594594595
7,0.05263157894736842,0.9473684210526315,-2295.65380897844,-2295.65380897844,-2295.65380897844,-3522.4830650437257,-3522.48306503993,0.04374923992674891,0.4081388030152734,-3522.4830650429603,2.2661920084081803e-18,2.2661924173504615e-18,-2.002013103452422e-17,-2.0020126395395393e-17,752.7027027027027
8,0.058823529411764705,0.9411764705882353,-2522.274831955791,-2522.274831955791,-2522.274831955791,-3948.5413805124954,-3942.790878383957,0.05274080680775145,0.40866684139599413,-3947.822567746002,2.5887984830965304e-18,2.603792679932736e-18,-2.2532257575514003e-17,-2.2413662194723572e-17,845.9459459459459
9,0.0,1.0,,,,-4372.236139130324,-4363.537311664573,0.0,0.40912346935320487,-4371.269602726051,2.935020334902641e-18,2.954136008807512e-18,-2.504307452510621e-17,-2.4900668841012428e-17,939.1891891891892
10,0.0,1.0,,,,-4793.330239181937,-4791.835563565288,0.0,0.4104904677175219,-4793.215258597865,3.3174653801649277e-18,3.3274936202491496e-18,-2.762305060033399e-17,-2.7551855053312062e-17,1032.4324324324325
11,0.0,1.0,,,,-5211.616331320441,-5208.303708623148,0.0,0.41142598939778074,-5211.4091904060615,3.694077121946426e-18,3.7115369622474585e-18,-3.014911096569252e-17,-3.005826636767405e-17,1125.6756756756756
12,0.0,1.0,,,,-5626.910074135332,-5611.120657154026,0.0,0.41321985112787407,-5625.264321718889,4.0842657033396494e-18,4.121089281712466e-18,-3.279391025772884e-17,-3.2562049254078415e-17,1218.918918918919
13,0.0,1.0,,,,-6039.044708993116,-6030.15794974062,0.0,0.41269157908170084,-6038.452258375228,4.488348001491523e-18,4.51726003730724e-18,-3.5239881244691493e-17,-3.50630841283377e-17,1312.162162162162
14,0.0,1.0,,,,-6447.86667152753,-6447.866670513868,0.0,0.41075468914318924,-6447.86667132165,4.9066592435656596e-18,4.906671042293491e-18,-3.756139169371596e-17,-3.7561340173896806e-17,1405.4054054054054
15,0.0,1.0,,,,-6853.232023010856,-6853.232023003269,0.0,0.410998278112403,-6853.232023010101,5.339551742438225e-18,5.339552864879772e-18,-4.0056841251058244e-17,-4.0056834926352397e-17,1498.6486486486485
16,0.0,1.0,,,,-7255.003533090982,-7255.003392758068,0.0,0.4112336882539386,-7255.003521396455,5.787396725188283e-18,5.787542217677466e-18,-4.255022697230555e-17,-4.2549617869472604e-17,1591.8918918918919
17,0.0,1.0,,,,-7653.048279523159,-7607.30794124942,0.0,0.41143535502202044,-7649.998923638166,6.1834938578957784e-18,6.250585200659134e-18,-4.5039762016850466e-17,-4.4611519452456135e-17,1685.1351351351352
18,0.0,1.0,,,,-8047.235655896403,-8000.090172240996,0.0,0.4116669347525763,-8043.867786932176,6.665530234427472e-18,6.730139373735181e-18,-4.7529989499966674e-17,-4.7108481385841317e-17,1778.3783783783783
19,0.0,1.0,,,,-8437.435698316314,-8385.150935829537,0.0,0.4118736916011118,-8433.94918323182,7.158552042752904e-18,7.225703319891271e-18,-5.0016935968270956e-17,-4.9570694909180436e-17,1871.6216216216217
20,0.0,1.0,,,,-8823.51765826031,-8765.247780588956,0.0,0.41207825426276806,-8820.602546952736,7.670332634109832e-18,7.73811410365653e-18,-5.25023503635351e-17,-5.202938328316256e-17,1964.8648648648648
21,0.0,1.0,,,,-9205.3487621761,-9139.486549590569,0.0,0.41215780992563433,-9200.282438129834,8.201687568516251e-18,8.265326707017927e-18,-5.497551738151288e-17,-5.448040772528851e-17,2058.1081081081084
22,0.0,1.0,,,,-9582.793109296137,-9582.793109290276,0.0,0.41231475889831726,-9582.793109295253,8.811850644418749e-18,8.811852255834242e-18,-5.745365877496796e-17,-5.745365476292482e-17,2151.3513513513512
23,0.0,1.0,,,,-9955.710667908168,-9955.710667906444,0.0,0.41246424152290023,-9955.710667907832,9.376541163483764e-18,9.376541882991801e-18,-5.992963500791692e-17,-5.992962977996274e-17,2244.5945945945946
24,0.0,1.0,,,,-10323.95633724314,-10323.956337241963,0.0,0.4126071096061801,-10323.956337242917,9.959961023311653e-18,9.959961557132629e-18,-6.240351165138157e-17,-6.240350584320172e-17,2337.837837837838
25,0.0,1.0,,,,-10687.379047484184,-10687.379047483839,0.0,0.4127439798450888,-10687.379047484055,1.0562705713693345e-17,1.0562706089511295e-17,-6.48753512717751e-17,-6.487534690876219e-17,2431.0810810810813
26,0.0,1.0,,,,-11045.820874408611,-11045.820874408157,0.0,0.4128754872811968,-11045.820874408537,1.1185406708972035e-17,1.1185406890822839e-17,-6.734521434791262e-17,-6.734520983127474e-17,2524.324324324324
27,0.0,1.0,,,,-11399.11614806609,-11399.11614806542,0.0,0.4130021624612796,-11399.116148065961,1.1828731053880618e-17,1.1828731565272239e-17,-6.98131538368846e-17,-6.981315051902322e-17,2617.5675675675675
28,0.0,1.0,,,,-11747.090536838803,-11747.090536836913,0.0,0.41312448244302213,-11747.090536838527,1.2493387097765894e-17,1.2493387805108255e-17,-7.227922277046374e-17,-7.2279219051234e-17,2710.810810810811
29,0.0,1.0,,,,-12089.560089371293,-12089.560089363215,0.0,0.4132428941804218,-12089.560089370336,1.3180125241152777e-17,1.3180127116450943e-17,-7.474346602592657e-17,-7.474345950774165e-17,2804.054054054054
30,0.0,1.0,,,,-12426.33021728964,-12426.330217285182,0.0,0.4133577209468246,-12426.330217289109,1.3889744152006857e-17,1.388974566257971e-17,-7.720592270779449e-17,-7.720591777675988e-17,2897.297297297297
31,0.0,1.0,,,,-12757.194601424297,-12757.194601424113,0.0,0.4134693309526933,-12757.194601424222,1.4623092193115434e-17,1.4623092808781653e-17,-7.966663668313247e-17,-7.966663061030025e-17,2990.5405405405404
32,0.0,1.0,,,,-13081.934003438088,-13081.934003437093,0.0,0.41357809766223014,-13081.934003437926,1.5381074077974083e-17,1.5381074673953277e-17,-8.212564005607799e-17,-8.212563570511462e-17,3083.7837837837837
33,0.0,1.0,,,,-13400.314963343706,-13400.314963343426,0.0,0.41368425483672544,-13400.314963343606,1.6164654106262996e-17,1.6164654670139495e-17,-8.458297073198511e-17,-8.458296731666457e-17,3177.027027027027
34,0.0,1.0,,,,-13712.088361345239,-13712.08836134465,0.0,0.4137880724323939,-13712.088361345037,1.697486381245454e-17,1.697486429380071e-17,-8.703866041421258e-17,-8.703865717416455e-17,3270.2702702702704
35,0.0,1.0,,,,-14016.987819694288,-14016.987819693213,0.0,0.41388980451110197,-14016.987819694032,1.7812807150618993e-17,1.781280796570743e-17,-8.949273637081861e-17,-8.949273297429133e-17,3363.5135135135133
36,0.0,1.0,,,,-14314.72791671985,-14314.72791671917,0.0,0.4139896194816663,-14314.7279167196,1.8679667253673804e-17,1.8679667788514454e-17,-9.194522794553379e-17,-9.194522427783973e-17,3456.7567567567567
37,0.0,1.0,,,,-14605.002180731457,-14605.00218072993,0.0,0.41408774964967465,-14605.002180731053,1.957671547404372e-17,1.9576716599594103e-17,-9.439615968857696e-17,-9.439615481736992e-17,3550.0
38,0.0,1.0,,,,-14887.480825925755,-14887.480825925591,0.0,0.41418435307413437,-14887.480825925717,2.0505322182648478e-17,2.0505322523384996e-17,-9.684555124289278e-17,-9.684554988507739e-17,3643.2432432432433
39,0.0,1.0,,,,-15161.808185498216,-15161.808181087577,0.0,0.4142809761800732,-15161.80818476295,2.1466962462118735e-17,2.146701346807197e-17,-9.929348633952604e-17,-9.929343163862474e-17,3736.4864864864862
40,0.0,1.0,,,,-15427.599788544368,-15427.599779179573,0.0,0.4143756529829578,-15427.59978773757,2.246323343893917e-17,2.2463309072186643e-17,-1.0173989729071278e-16,-1.017398193217117e-16,3829.7297297297296
41,0.0,1.0,,,,-15684.439016607117,-15684.438992568714,0.0,0.4144694747839632,-15684.439012319457,2.3495864771829568e-17,2.3495974341345912e-17,-1.0418496561648121e-16,-1.0418473625245522e-16,3922.972972972973
42,0.0,1.0,,,,-15931.873262313116,-15931.873216071166,0.0,0.4145630323207158,-15931.873255841334,2.4566736150779353e-17,2.4566907643545632e-17,-1.0662843121520976e-16,-1.0662820122210443e-16,4016.2162162162163
43,0.0,1.0,,,,-16169.409495703234,-16169.40890235623,0.0,0.41466531459026806,-16169.409453714707,2.567789444001838e-17,2.567851976535129e-17,-1.0907080319297626e-16,-1.0907022898312478e-16,4109.45945945946
44,0.0,1.0,,,,-16396.509122598316,-16396.508546247882,0.0,0.41475535739617964,-16396.509063741953,2.683157635104755e-17,2.6832193919625518e-17,-1.115114627150413e-16,-1.115108461336386e-16,4202.7027027027025
45,0.0,1.0,,,,-16612.581992319163,-16612.58163153789,0.0,0.41484150213726856,-16612.581964565365,2.80302307605825e-17,2.803069941752578e-17,-1.1395080501827767e-16,-1.1395006256662226e-16,4295.945945945946
46,0.0,1.0,,,,-16816.979377509033,-16816.9772429127,0.0,0.4149490044142552,-16816.97925892008,2.9276551091290045e-17,2.927781539137522e-17,-1.1638883810963584e-16,-1.1638789471261752e-16,4389.189189189189
47,0.0,1.0,,,,-17008.985704212315,-17008.985703045917,0.0,0.4150096831825824,-17008.985704082494,3.0573506352757546e-17,3.057353630106542e-17,-1.1882438736202034e-16,-1.1882436148780175e-16,4482.4324324324325
48,0.0,1.0,,,,-17187.80875239398,-17187.808752388457,0.0,0.41509779416398596,-17187.8087523929,3.1924384752782026e-17,3.192438753608026e-17,-1.212594865404375e-16,-1.2125947952157119e-16,4575.675675675676
49,0.0,1.0,,,,-17352.56797102162,-17352.567971019427,0.0,0.4151862434758937,-17352.567971021293,3.333283916817002e-17,3.3332840807443477e-17,-1.2369326868824994e-16,-1.2369326132841262e-16,4668.918918918919
50,0.0,1.0,,,,-17502.280451078266,-17501.546043440703,0.0,0.41580396436816663,-17502.18865012317,3.4802946860932e-17,3.4827924378285576e-17,-1.261413426093431e-16,-1.2612572807447848e-16,4762.1621621621625
51,0.0,1.0,,,,-17635.843965015658,-17635.84396501518,0.0,0.41536273265865087,-17635.843965015523,3.633928032953841e-17,3.633928121838293e-17,-1.2855689997854974e-16,-1.285568916679798e-16,4855.405405405405
52,0.0,1.0,,,,-17752.01629860975,-17752.016298607217,0.0,0.4154509019120449,-17752.01629860928,3.79469901103535e-17,3.794699151343126e-17,-1.3098678047741322e-16,-1.3098677122682997e-16,4948.648648648648
53,0.0,1.0,,,,-17849.38985106422,-17849.389851061464,0.0,0.4155391084383734,-17849.38985106351,3.963191426056738e-17,3.9631916079582844e-17,-1.3341538786441363e-16,-1.33415379708818e-16,5041.891891891892
