,probLow,probHigh,lowEnergy,minLE,maxLE,minHE,maxHE,maxLPHI,maxHPHI,highEnergy,minCP,maxCP,minMP,maxMP,phitot
0,0.8636363636363636,0.13636363636363635,-473.91571541398565,-473.915729474849,-473.9156169252849,-342.2637616170531,-342.26372974066794,0.009276209427662949,0.38206405009984384,-342.26374967680596,2.9744135709178767e-19,2.974422888809633e-19,-2.1279616542133153e-18,-2.1279575935207697e-18,100.0
1,0.8372093023255814,0.16279069767441862,-734.0532226134355,-734.0868827496764,-733.4814196434304,-612.9447156380487,-612.9446846166692,0.013740162118547538,0.38205540032055335,-612.944708827811,5.446412352141468e-19,5.446416579605242e-19,-3.82435564979461e-18,-3.824353617042864e-18,179.72972972972974
2,0.7560975609756098,0.24390243902439024,-958.3540383458738,-958.3540671099479,-958.3538992811638,-881.4020778577462,-881.4020469985929,0.01760907966722528,0.38205721904641304,-881.4020702076257,8.009864578522738e-19,8.009867757882156e-19,-5.52064202494598e-18,-5.520640579465917e-18,259.4594594594595
3,0.6875,0.3125,-1160.0242494274787,-1160.0242927518736,-1160.0241317837895,-1147.5908777558766,-1147.590840068437,0.02122341595791223,0.3820646152625655,-1147.5908723326916,1.0666780587112797e-18,1.0666788594822264e-18,-7.216802093329935e-18,-7.216798059590997e-18,339.18918918918916
4,0.5769230769230769,0.4230769230769231,-1345.6801243462498,-1345.6801743869325,-1345.6799982748694,-1411.4616923939088,-1411.4615229102717,0.024679568340284744,0.3820766197614804,-1411.461643356157,1.3419230387455552e-18,1.3419272973923207e-18,-8.912809817075894e-18,-8.912791877777152e-18,418.9189189189189
5,0.6666666666666666,0.3333333333333333,-1519.2445894933505,-1519.2446033920032,-1519.2445091019595,-1672.9623753513474,-1672.9623119513944,0.028051728283826006,0.3820914874311147,-1672.962357174888,1.6269388687136983e-18,1.626941648134799e-18,-1.0608625606318611e-17,-1.0608610534546189e-17,498.64864864864865
6,0.38461538461538464,0.6153846153846154,-1683.322649640435,-1683.322737550008,-1683.3223623279332,-1932.0384801537211,-1932.038231464919,0.03139350609698475,0.3821109473050906,-1932.038426074057,1.9219485432203385e-18,1.9219552118103863e-18,-1.230424154855261e-17,-1.2304207582494659e-17,578.3783783783783
7,0.391304347826087,0.6086956521739131,-1839.7789447651303,-1839.7790195859914,-1839.778628630127,-2188.880008114447,-2183.0618622176275,0.03475102809264651,0.38945135857928004,-2187.221806780964,2.229065848369114e-18,2.2785814154818738e-18,-1.4037904032420405e-17,-1.4022944133157292e-17,658.1081081081081
8,0.3888888888888889,0.6111111111111112,-1990.0291311447604,-1990.0291615016554,-1990.0290197557213,-2443.9506976699977,-2404.4623415317624,0.0381703094088457,0.38346654388874996,-2436.770996552812,2.550627964097869e-18,2.553268425177419e-18,-1.5868676005179552e-17,-1.5757242415797138e-17,737.8378378378378
9,0.35294117647058826,0.6470588235294118,-2135.2075627331583,-2135.207640081825,-2135.2074856287672,-2697.064904259162,-2697.064904258209,0.04170423577911728,0.38410079955511506,-2697.0649042588284,2.8861154327965425e-18,2.886115656556914e-18,-1.7488592237045114e-17,-1.7488589894333727e-17,817.5675675675675
10,0.21052631578947367,0.7894736842105263,-2276.277163496548,-2276.27717034612,-2276.2771429526615,-2948.0300163422053,-2948.030016341581,0.04542229727590114,0.38465945054527856,-2948.030016342039,3.2302073667454566e-18,3.230207794313702e-18,-1.9219196537499014e-17,-1.9219193904332653e-17,897.2972972972973
11,0.08333333333333333,0.9166666666666666,-2414.1147878967595,-2414.1147878967595,-2414.1147878967595,-3196.672927070861,-3196.6729270707187,0.04943106115931095,0.385157293338685,-3196.672927070844,3.585769470426705e-18,3.5857696931959885e-18,-2.0948553284543475e-17,-2.0948552011173276e-17,977.027027027027
12,0.05555555555555555,0.9444444444444444,-2549.6057632659995,-2549.6057632659995,-2549.6057632659995,-3442.836337012316,-3442.8363370121124,0.05392282003323474,0.385605595056494,-3442.836337012249,3.9530477711702324e-18,3.953048039346387e-18,-2.2676328431239545e-17,-2.2676326717163047e-17,1056.7567567567567
13,0.0,1.0,,,,-3686.375526075059,-3686.3755260748926,0.0,0.3860129169906823,-3686.3755260750245,4.33230662187541e-18,4.332307018089367e-18,-2.4402300497001286e-17,-2.4402298876311938e-17,1136.4864864864865
14,0.0,1.0,,,,-3927.1555745359024,-3915.167799589629,0.0,0.3863866706677972,-3926.3563894679783,4.678484663631136e-18,4.7238377471139484e-18,-2.612637916915972e-17,-2.5908033741069067e-17,1216.2162162162163
15,0.0,1.0,,,,-4165.048979221995,-4165.048979218405,0.0,0.38672971001900475,-4165.048979221502,5.127906183486215e-18,5.127907164726967e-18,-2.784837978247072e-17,-2.784837626699356e-17,1295.9459459459458
16,0.0,1.0,,,,-4399.933608253191,-4399.933608252866,0.0,0.3870483889886909,-4399.933608253129,5.544857075961745e-18,5.544857658664029e-18,-2.956838903522832e-17,-2.9568387049322014e-17,1375.6756756756756
17,0.0,1.0,,,,-4631.69094208461,-4631.690942083904,0.0,0.38734539071631485,-4631.690942084372,5.975011223955268e-18,5.975011697741538e-18,-3.128637819169931e-17,-3.1286375332403557e-17,1455.4054054054054
18,0.0,1.0,,,,-4860.204553763663,-4860.204553763337,0.0,0.38762334845504326,-4860.2045537636095,6.4187159513193846e-18,6.41871650989003e-18,-3.3002368241727174e-17,-3.3002365837801244e-17,1535.135135135135
19,0.0,1.0,,,,-5085.358786205122,-5085.3587862042305,0.0,0.3878845529650672,-5085.358786204974,6.8763395619465985e-18,6.876339957154577e-18,-3.4716398324188945e-17,-3.471639517202139e-17,1614.8648648648648
20,0.0,1.0,,,,-5307.03758887211,-5306.354869297031,0.0,0.38889081595660313,-5306.972567960073,7.348268406626213e-18,7.361913751697371e-18,-3.648066676751495e-17,-3.642850825389443e-17,1694.5945945945946
21,0.0,1.0,,,,-5525.123480569472,-5523.928034591411,0.0,0.38935652937720056,-5525.03492891032,7.834911312207609e-18,7.85355594818351e-18,-3.820774783151801e-17,-3.813875280961844e-17,1774.3243243243242
22,0.0,1.0,,,,-5739.496609073077,-5737.728490792999,0.0,0.38977730824794526,-5739.370314910056,8.336699639605581e-18,8.360080280387373e-18,-3.993103815935364e-17,-3.984717858475936e-17,1854.054054054054
23,0.0,1.0,,,,-5950.033881942399,-5947.761180223114,0.0,0.3901297051501016,-5949.852065804703,8.854088453923299e-18,8.881357083737787e-18,-4.164872134175373e-17,-4.1553835342551334e-17,1933.7837837837837
24,0.0,1.0,,,,-6156.608146020206,-6156.608116874178,0.0,0.3890011203225088,-6156.608144898872,9.387558471429025e-18,9.38765799320819e-18,-4.325911603892484e-17,-4.3258771178842126e-17,2013.5135135135133
25,0.0,1.0,,,,-6359.087395758586,-6359.087395757946,0.0,0.38918864690530924,-6359.087395758466,9.937618676262563e-18,9.937619393365091e-18,-4.496203556936483e-17,-4.4962032477234724e-17,2093.2432432432433
26,0.0,1.0,,,,-6557.3339926128865,-6557.3339923096355,0.0,0.3893734652630011,-6557.333992601127,1.0504807526172308e-17,1.050482044978548e-17,-4.666368970586573e-17,-4.666366352388773e-17,2172.972972972973
27,0.0,1.0,,,,-6751.203879318556,-6750.768362207895,0.0,0.39031204301879147,-6751.18774905514,1.1089694952253955e-17,1.1107816938952581e-17,-4.83812908070712e-17,-4.836370615767877e-17,2252.7027027027025
28,0.0,1.0,,,,-6940.545773932869,-6940.506713037254,0.0,0.38990802630778515,-6940.544378900752,1.1692885538048387e-17,1.1697501122347146e-17,-5.007199137139061e-17,-5.0062198618587747e-17,2332.4324324324325
29,0.0,1.0,,,,-7125.200329107175,-7123.7985867839825,0.0,0.39132745284766657,-7125.088184695013,1.2315021868351518e-17,1.2351681982247343e-17,-5.177464216371583e-17,-5.175917853761754e-17,2412.162162162162
30,0.0,1.0,,,,-7304.999242175101,-7304.999242170453,0.0,0.3900447072548383,-7304.999242174644,1.2956785485824523e-17,1.2956787592821718e-17,-5.345468316558076e-17,-5.345467880390573e-17,2491.8918918918916
31,0.0,1.0,,,,-7479.764301307335,-7479.7643012932685,0.0,0.39019913136813167,-7479.7643013062025,1.36189029427957e-17,1.361890642807344e-17,-5.514873882044306e-17,-5.514873391385678e-17,2571.6216216216217
