,probLow,probHigh,lowEnergy,minLE,maxLE,minHE,maxHE,maxLPHI,maxHPHI,highEnergy,minCP,maxCP,minMP,maxMP,phitot
0,0.975,0.025,-491.7795752361447,-491.7795862593683,-491.7794290746472,-417.25765674707617,-417.25765674707617,0.009323023227483634,0.3959359431096738,-417.25765674707617,2.4767207170646316e-19,2.4767207170646316e-19,-2.388804583298809e-18,-2.388804583298809e-18,100.0
1,0.7714285714285715,0.22857142857142856,-811.5217277264572,-811.5217560739462,-811.5216268653123,-803.9698688257965,-803.6998663959271,0.014528934330088684,0.39601070400704463,-803.9023626424229,4.894162646522821e-19,4.895827754647063e-19,-4.616512498825901e-18,-4.61594234038657e-18,193.24324324324323
2,0.7586206896551724,0.2413793103448276,-1088.096336354807,-1088.0963710122282,-1088.0962118983653,-1188.0824738721678,-1172.2310102068698,0.0190998347631561,0.40180035583468143,-1185.8179610795016,7.418403574854256e-19,7.59198387330679e-19,-6.848247189869851e-18,-6.8429285385672956e-18,286.48648648648646
3,0.45161290322580644,0.5483870967741935,-1339.4459513378238,-1339.4460076289533,-1339.4458439902653,-1569.5429404151407,-1569.5428983946742,0.023394905452847146,0.3959379698765057,-1569.5429262672403,1.005182583596237e-18,1.0051837348274722e-18,-9.069754582488525e-18,-9.069747191037306e-18,379.72972972972974
4,0.4444444444444444,0.5555555555555556,-1574.0327846315604,-1574.0328118669445,-1574.0326726982937,-1948.292877087724,-1947.7572100983336,0.027585871115764993,0.3959770757442829,-1948.2392912343753,1.2796828924725498e-18,1.2798177333235295e-18,-1.129798379995243e-17,-1.1296326335775806e-17,472.97297297297297
5,0.3,0.7,-1796.8396186230605,-1796.839639898539,-1796.8395821418228,-2324.2706246120233,-2324.007276373903,0.031793095045692575,0.3964473273503109,-2324.2515855772535,1.5655911631779056e-18,1.5684285280607406e-18,-1.3541823904187474e-17,-1.3522662767409438e-17,566.2162162162163
6,0.21052631578947367,0.7894736842105263,-2011.2281989104708,-2011.228267947773,-2011.2280529927395,-2697.9177505985735,-2697.818706032708,0.036133253111331524,0.3970551532307165,-2697.9109362814065,1.867906841745034e-18,1.8705033838132718e-18,-1.5801047190354267e-17,-1.5783788787173655e-17,659.4594594594595
7,0.1875,0.8125,-2219.7398665981655,-2219.739884401709,-2219.7398576963938,-3069.7693243982444,-3066.149303775627,0.04075816007997186,0.39787481390371676,-3069.4763198360333,2.174998734764275e-18,2.187274351847853e-18,-1.8076304462316162e-17,-1.8004598239138886e-17,752.7027027027027
8,0.26666666666666666,0.7333333333333333,-2424.563134517125,-2424.563255340923,-2424.563093842544,-3439.514972704705,-3420.914111175303,0.04593475286720263,0.39804780570044956,-3437.8239744135003,2.506468513986123e-18,2.5121097439367598e-18,-2.035644046795008e-17,-2.0324069412930322e-17,845.9459459459459
9,0.23076923076923078,0.7692307692307693,-2628.0263638481833,-2628.0263842140384,-2628.026353665256,-3806.882119017603,-3798.641408935329,0.05235811435102474,0.3985760118349336,-3806.0580355647844,2.8294929289630976e-18,2.853156924310129e-18,-2.2591946600345942e-17,-2.243341736376555e-17,939.1891891891892
10,0.0,1.0,,,,-4171.635449153271,-4159.933104115717,0.0,0.3990196307474293,-4170.875211069389,3.17770283534371e-18,3.2070401766719164e-18,-2.4865118885479765e-17,-2.4668734032366412e-17,1032.4324324324325
