,phitot,LRm,LTheta,LRp,LME,LBE,LEN,LTE,LCE,LMPot,LCON,LAG,lowTotal,HRm,HTheta,HRp,HME,HBE,HEN,HTE,HCE,HMPot,HCON,HAG,highTotal,state
0,100.0,0.0004121128880151731,0.0010000000902737618,1.4294710401624768e-07,249.97573539280415,9.424778876605877e-05,-566.5431191318505,708.5009874498465,-255.5610923526348,-1.7153176442013236,62.15203232299812,72.1503352121896,-437.3908157661843,6.255602545452266e-05,0.0010000058712921602,6.24272618849274e-08,249.84016885087695,9.424887846686213e-05,-166.1253521695834,16.32493210374392,119.16612831557718,-6.394740321310819,0.0009981849187205177,-623.8866931603958,-420.62747000164194,11
1,262.5,0.000479295790568952,0.001000081309101221,1.1477217939273152e-07,656.1952332925971,9.426309877878225e-05,-1312.0030704163999,958.4861450467669,-486.8094053948836,-1.550350727582172,142.47624826726738,121.91058559459911,-877.7391409880541,0.00010135066827732749,0.0010000305008538036,1.010753835893916e-07,655.9910238094265,9.425352110583819e-05,-436.08449813431173,42.85363972733532,323.9100674703966,-6.394242688866743,0.017831947125640898,-1637.6929054715426,-1093.4811844387718,11
2,425.0,0.0005100474856799369,0.001000047987916347,1.0443241882031182e-07,1062.4166760587248,9.425681747640418e-05,-1970.5583725134543,1085.3527010614125,-618.3746926401152,-1.6226450888674744,199.530898189777,102.13864765311693,-1224.3238436099618,0.00012895909952975263,0.0010000275622801496,1.2810149982907662e-07,1062.1704637009996,9.425296718349053e-05,-706.0272179471062,69.38025831304088,543.2127605567055,-6.393845873525839,0.07475032071856978,-2651.5282515744893,-1751.7201924546541,11
3,587.5,0.0005243506312259526,0.0010000484644126504,1.0011373958136857e-07,1468.6379587892757,9.425690729599373e-05,-2563.8794538531242,1147.0799098432599,-670.8919075749366,-1.783070411282772,231.5895851459826,8.542914983084135,-1525.4618780840335,1.0571373484270599e-05,0.014338850612286649,1.4565511043101594e-07,1463.1977956933965,0.019377260002829765,-975.5224893256058,95.84999559703081,778.427464991775,-6.398244821559847,0.20990072133868806,-3666.1562616835777,-2394.3752557755315,11
4,750.0,0.0005234599300652675,0.0010000525637101202,1.0036671905569203e-07,1874.8567252946823,9.425768003325948e-05,-3083.6680100606964,1143.1955605250362,-635.5402772402587,-2.0320435671619874,229.48678394472412,-187.36774199023202,-1801.6944956330938,1.880239565194065e-06,0.09098760159752392,1.4307251576431286e-07,1835.3236119268843,0.7797150619341305,-1242.583338105459,122.01105863847211,1032.2438320847891,-6.421231604382919,0.6052403909678655,-4685.065593085394,-3022.67201867144,11
5,912.5,1.0,1.0,1.0,2281.249908750001,86.65097392540919,-29909.059334891903,3835397190337061.5,-26704.870646866333,-28.27901155720763,1.5907618854971687e+29,912.4999999995676,1.590761885497191e+29,1.1941510447687265e-06,0.15796392348759045,1.4146571618557926e-07,2205.475784328774,2.3468411742447364,-1509.2933175683652,148.12866962635542,1304.3595031656412,-6.435874523067275,1.3287843653840832,-5704.551052248887,-3635.5522765229216,01
6,1075.0,1.0,1.0,1.0,2687.499892500001,86.65097392540919,-35063.71922347083,3835397190337061.5,-31227.671630566205,-28.115123702102668,1.5907618854971687e+29,1074.9999999993997,1.590761885497191e+29,9.480769439991789e-07,0.21596689501497363,1.3989585747530794e-07,2575.3085513428923,4.378817249777217,-1775.7351929120366,174.21313181201333,1596.212806002939,-6.444874310907542,2.4489485808441462,-6724.474378824834,-4230.485448141801,01
7,1237.5,1.0,1.0,1.0,3093.7498762500013,86.65097392540919,-40187.30728398148,3835397190337061.5,-35704.70025904003,-27.974351148221754,1.5907618854971687e+29,1237.4999999992046,1.590761885497191e+29,8.252477281158567e-07,0.26628915927361174,1.3810653593119156e-07,2945.612118350013,6.643703876437373,-2041.9535618874804,200.2699728735941,1909.5035949244234,-6.450031987665302,4.001484942594316,-7744.762050378892,-4805.036697632043,01
8,1400.0,1.0,1.0,1.0,3499.9998600000017,86.65097392540919,-45289.49521028956,3835397190337061.5,-40137.175247152256,-27.850972127061418,1.5907618854971687e+29,1399.999999998982,1.590761885497191e+29,7.538556032213252e-07,0.3102026915370524,1.3607984275265754e-07,3316.7515372554967,8.99656929656016,-2307.978525117629,226.30292182703874,2246.2281910220718,-6.452554112916672,5.9966473219830005,-8765.364537318357,-5356.707997698173,01
9,1562.5,1.0,1.0,1.0,3906.249843750001,86.65097392540919,-50379.1924075714,3835397190337061.5,-44525.202589712455,-27.741157261054372,1.5907618854971687e+29,1562.499999998732,1.590761885497191e+29,7.086414345789946e-07,0.3488146347606841,1.3387272025861206e-07,3688.8691509585337,11.351483068292255,-2573.832203120153,252.31471965585956,2608.7441741929656,-6.453257072080216,8.42928105863652,-9786.245430617848,-5882.796985375293,01
10,1725.0,1.0,1.0,1.0,4312.499827500002,86.65097392540919,-55445.54554678974,3835397190337061.5,-48867.92090427351,-27.64221731319964,1.5907618854971687e+29,1724.9999999984545,1.590761885497191e+29,6.784787309059113e-07,0.3830278294017962,1.3155543789490033e-07,4062.0020261093887,13.658897816653004,-2839.5324173892272,278.3075762637281,2999.8606666780693,-6.452695525938392,11.286787004641457,-10807.375342151425,-6380.255592196009,01
